date,level,PRELIQ_Q,T_Q,ETP_Q
1994-08-01,84.87,0.0,20.9,4.7
1994-08-02,84.85,0.0,21.4,3.7
1994-08-03,84.8,0.0,24.9,6.2
1994-08-04,84.75,0.0,25.7,5.3
1994-08-05,84.7,0.0,24.3,4.0
1994-08-06,84.64,0.1,24.0,4.4
1994-08-07,84.58,7.7,22.9,4.3
1994-08-08,84.53,0.0,22.4,3.8
1994-08-09,84.49,10.0,23.1,4.4
1994-08-10,84.46,4.5,18.6,2.0
1994-08-11,84.42,5.3,17.3,2.2
1994-08-12,84.37,1.3,17.7,2.2
1994-08-13,84.33,0.0,17.6,3.0
1994-08-14,84.28,0.0,16.8,4.0
1994-08-15,84.25,0.0,16.8,2.8
1994-08-16,84.22,0.0,18.1,2.4
1994-08-17,84.19,4.0,15.5,1.3
1994-08-18,84.15,0.0,17.6,3.3
1994-08-19,84.12,0.5,18.9,2.3
1994-08-20,84.09,0.0,20.5,3.6
1994-08-21,84.06,0.0,20.5,2.8
1994-08-22,84.03,0.0,21.2,3.7
1994-08-23,84.0,0.0,20.9,3.2
1994-08-24,83.97,0.1,17.6,2.3
1994-08-25,83.95,1.1,17.2,2.5
1994-08-26,83.93,0.7,18.5,2.3
1994-08-27,83.9,1.0,19.5,2.7
1994-08-28,83.88,0.0,16.3,3.0
1994-08-29,83.85,0.0,15.5,3.1
1994-08-30,83.84,0.0,16.6,2.8
1994-08-31,83.83,7.4,15.5,1.1
1994-09-01,83.82,10.8,16.4,2.6
1994-09-02,83.81,0.0,15.3,3.3
1994-09-03,83.78,0.0,15.3,3.1
1994-09-04,83.77,0.0,18.3,3.1
1994-09-05,83.76,4.0,15.5,1.5
1994-09-06,83.75,3.3,16.9,1.0
1994-09-07,83.74,6.3,14.3,2.3
1994-09-08,83.74,6.3,14.3,2.3
1994-09-09,83.74,6.3,14.3,2.3
1994-09-10,83.73,8.3,14.3,2.0
1994-09-11,83.71,9.5,15.2,1.4
1994-09-12,83.7,1.0,13.6,2.2
1994-09-13,83.7,1.0,13.6,2.2
1994-09-14,83.71,6.0,13.4,2.1
1994-09-15,83.7,1.7,11.4,1.1
1994-09-16,83.68,0.7,10.8,1.9
1994-09-17,83.65,1.2,9.8,2.1
1994-09-18,83.63,0.0,9.3,2.1
1994-09-19,83.66,10.7,11.7,0.7
1994-09-20,83.66,10.7,11.7,0.7
1994-09-21,83.65,0.0,12.9,2.2
1994-09-22,83.62,3.3,13.3,0.8
1994-09-23,83.61,2.5,15.8,1.8
1994-09-24,83.61,2.5,15.8,1.8
1994-09-25,83.61,2.5,15.8,1.8
1994-09-26,83.6,4.3,14.6,0.9
1994-09-27,83.59,0.0,14.7,1.5
1994-09-28,83.57,0.0,13.1,2.0
1994-09-29,83.57,4.3,14.5,1.4
1994-09-30,83.57,4.3,14.5,1.4
1994-10-01,83.56,0.0,16.0,1.9
1994-10-02,83.57,1.4,13.4,1.5
1994-10-03,83.57,1.4,13.4,1.5
1994-10-04,83.55,0.0,8.6,2.0
1994-10-05,83.52,0.0,6.3,2.0
1994-10-06,83.51,0.0,6.5,2.0
1994-10-07,83.52,0.0,6.8,1.3
1994-10-08,83.51,0.0,7.7,2.7
1994-10-09,83.51,0.0,7.7,2.7
1994-10-10,83.5,0.0,14.4,1.8
1994-10-11,83.5,0.0,14.4,1.8
1994-10-12,83.49,0.0,14.8,1.9
1994-10-13,83.48,0.0,12.4,2.7
1994-10-14,83.49,0.0,13.8,2.2
1994-10-15,83.48,0.0,13.0,2.3
1994-10-16,83.46,0.0,9.2,1.8
1994-10-17,83.46,0.0,9.2,1.8
1994-10-18,83.47,0.0,8.2,1.4
1994-10-19,83.48,9.2,11.6,0.7
1994-10-20,83.47,5.4,12.2,1.4
1994-10-21,83.47,5.4,12.2,1.4
1994-10-22,83.45,6.6,10.9,1.2
1994-10-23,83.45,6.6,10.9,1.2
1994-10-24,83.45,6.6,10.9,1.2
1994-10-25,83.44,0.2,8.5,1.4
1994-10-26,83.44,0.2,8.5,1.4
1994-10-27,83.42,12.2,9.3,0.7
1994-10-28,83.41,4.1,8.9,0.6
1994-10-29,83.41,4.1,8.9,0.6
1994-10-30,83.41,0.4,15.2,2.1
1994-10-31,83.41,0.4,15.2,2.1
1994-11-01,83.39,0.0,10.1,1.2
1994-11-02,83.38,1.4,8.8,0.6
1994-11-03,83.39,0.0,14.1,1.4
1994-11-04,83.38,0.0,9.9,1.3
1994-11-05,83.38,0.0,9.9,1.3
1994-11-06,83.38,0.0,9.9,1.3
1994-11-07,83.37,0.1,10.3,1.1
1994-11-08,83.37,0.1,10.3,1.1
1994-11-09,83.38,6.9,10.4,0.3
1994-11-10,83.37,0.0,9.3,0.9
1994-11-11,83.37,0.0,9.3,0.9
